;date;T. Max.;T. Min.;H. Max.;H. Min.;P. Max.;P. Min.;Vel.;Precipitación;T. Amp.;P. Amp.;H. Amp.;T. med1.;P. med1.;H. med1.
2014-08-16;20140816;31.8;12.1;61;12;1019.8;1002.4;32.0;0.0;19.700000000000003;17.399999999999977;49;21.95;1011.0999999999999;36.5
2014-08-17;20140817;20.3;20.1;32;32;1018.0;1017.8;15.0;0.0;0.1999999999999993;0.20000000000004547;0;20.200000000000003;1017.9;32.0
2014-08-18;20140818;32.2;18.1;72;26;1012.9;1007.4;49.0;0.0;14.100000000000001;5.5;46;25.150000000000002;1010.15;49.0
2014-08-19;20140819;32.0;15.5;80;11;1011.9;1009.0;34.0;0.0;16.5;2.8999999999999773;69;23.75;1010.45;45.5
2014-08-20;20140820;31.0;15.8;56;18;1013.9;1011.4;27.0;0.0;15.2;2.5;38;23.4;1012.65;37.0
2014-08-21;20140821;31.8;14.6;61;14;1014.8;1010.7;38.0;0.0;17.200000000000003;4.099999999999909;47;23.2;1012.75;37.5
2014-08-22;20140822;28.2;17.2;77;23;1015.0;1011.3;38.0;0.3;11.0;3.7000000000000455;54;22.7;1013.15;50.0
2014-08-23;20140823;31.5;12.1;69;19;1017.6;1013.9;31.0;0.0;19.4;3.7000000000000455;50;21.8;1015.75;44.0
2014-08-24;20140824;33.3;15.7;44;16;1018.6;1014.3;30.0;0.0;17.599999999999998;4.300000000000068;28;24.5;1016.45;30.0
2014-08-25;20140825;34.7;17.6;33;2;1017.9;1012.2;39.0;0.0;17.1;5.699999999999932;31;26.150000000000002;1015.05;17.5
2014-08-26;20140826;33.5;21.6;46;21;1014.3;1011.9;45.0;0.0;11.899999999999999;2.3999999999999773;25;27.55;1013.0999999999999;33.5
2014-08-27;20140827;35.5;20.2;66;10;1016.1;1013.0;39.0;0.0;15.3;3.1000000000000227;56;27.85;1014.55;38.0
2014-08-28;20140828;35.7;17.9;44;10;1002.9;999.3;38.0;0.0;17.800000000000004;3.6000000000000227;34;26.8;1001.0999999999999;27.0
2014-08-29;20140829;35.3;20.7;51;19;1015.2;1000.4;33.0;0.0;14.599999999999998;14.800000000000068;32;28.0;1007.8;35.0
2014-08-30;20140830;30.0;19.1;69;42;1015.8;1013.9;25.0;0.0;10.899999999999999;1.8999999999999773;27;24.55;1014.8499999999999;55.5
2014-08-31;20140831;33.3;18.5;73;23;1015.8;1013.2;27.0;0.0;14.799999999999997;2.599999999999909;50;25.9;1014.5;48.0
2014-09-01;20140901;35.6;17.5;61;20;1016.4;1011.8;33.0;0.0;18.1;4.600000000000023;41;26.55;1014.0999999999999;40.5
2014-09-02;20140902;38.6;19.7;50;10;1014.0;1008.8;43.0;0.0;18.900000000000002;5.2000000000000455;40;29.15;1011.4;30.0
2014-09-03;20140903;33.7;19.3;57;22;1012.3;1008.7;28.0;0.0;14.400000000000002;3.599999999999909;35;26.5;1010.5;39.5
2014-09-04;20140904;32.5;17.6;61;24;1012.5;1009.7;27.0;0.0;14.899999999999999;2.7999999999999545;37;25.05;1011.1;42.5
2014-09-05;20140905;33.1;17.6;54;19;1013.9;1010.3;30.0;0.0;15.5;3.6000000000000227;35;25.35;1012.0999999999999;36.5
2014-09-06;20140906;30.6;17.3;49;22;1013.0;1009.7;40.0;0.0;13.3;3.2999999999999545;27;23.950000000000003;1011.35;35.5
2014-09-07;20140907;29.5;16.8;60;25;1011.9;1008.8;37.0;0.0;12.7;3.1000000000000227;35;23.15;1010.3499999999999;42.5
2014-09-08;20140908;29.5;15.8;73;27;1014.8;1009.9;27.0;5.0;13.7;4.899999999999977;46;22.65;1012.3499999999999;50.0
2014-09-09;20140909;29.7;16.0;74;20;1014.6;1009.7;25.0;0.0;13.7;4.899999999999977;54;22.85;1012.1500000000001;47.0
2014-09-10;20140910;31.7;16.5;79;11;1014.2;1009.6;38.0;0.0;15.2;4.600000000000023;68;24.1;1011.9000000000001;45.0
2014-09-11;20140911;30.2;18.6;53;22;1014.0;1011.0;31.0;8.0;11.599999999999998;3.0;31;24.4;1012.5;37.5
2014-09-12;20140912;30.4;16.0;66;26;1015.5;1012.8;31.0;0.8;14.399999999999999;2.7000000000000455;40;23.2;1014.15;46.0
2014-09-26;20140926;20.1;8.8;78;44;1021.1;1019.3;10.0;0.0;11.3;1.8000000000000682;34;14.450000000000001;1020.2;61.0
2014-09-29;20140929;26.3;14.0;99;33;1021.7;1019.4;26.0;0.0;12.3;2.300000000000068;66;20.15;1020.55;66.0
2014-09-30;20140930;28.9;11.2;88;21;1023.1;1020.5;19.0;0.0;17.7;2.6000000000000227;67;20.049999999999997;1021.8;54.5
2014-10-01;20141001;27.7;13.7;84;33;1023.4;1020.8;21.0;0.0;14.0;2.6000000000000227;51;20.7;1022.0999999999999;58.5
2014-10-02;20141002;28.5;13.9;86;29;1023.2;1019.0;19.0;0.0;14.6;4.2000000000000455;57;21.2;1021.1;57.5
2014-10-03;20141003;26.8;13.4;87;37;1021.4;1017.2;26.0;0.0;13.4;4.199999999999932;50;20.1;1019.3;62.0
2014-10-04;20141004;27.8;12.7;78;28;1018.0;1014.3;26.0;0.0;15.100000000000001;3.7000000000000455;50;20.25;1016.15;53.0
2014-10-05;20141005;26.2;12.3;72;26;1015.6;1010.7;34.0;0.0;13.899999999999999;4.899999999999977;46;19.25;1013.1500000000001;49.0
2014-10-06;20141006;25.9;10.6;80;30;1012.1;1008.9;28.0;0.0;15.299999999999999;3.2000000000000455;50;18.25;1010.5;55.0
2014-10-07;20141007;23.1;11.6;91;41;1014.0;1010.3;27.0;0.0;11.500000000000002;3.7000000000000455;50;17.35;1012.15;66.0
2014-10-08;20141008;24.1;11.2;91;49;1012.8;1008.8;46.0;0.0;12.900000000000002;4.0;42;17.65;1010.8;70.0
2014-10-09;20141009;17.7;14.3;99;82;1012.1;1009.4;36.0;16.8;3.3999999999999986;2.7000000000000455;17;16.0;1010.75;90.5
2014-10-10;20141010;21.8;12.5;99;52;1013.2;1009.6;23.0;14.7;9.3;3.6000000000000227;47;17.15;1011.4000000000001;75.5
