;date;T. Max.;T. Min.;H. Max.;H. Min.;P. Max.;P. Min.;Vel.;Precipitación;T. Amp.;P. Amp.;H. Amp.;T. med1.;P. med1.;H. med1.;Prec. Acumulado;Cuenta_lluvia;Cuenta_sequía;Regresión T. med1.;Regresión T. Max.;Regresión T. Min.;Regresión T. Amp.
2015-08-31;20150831;26.3;16.5;83;42;1015.7;1012.6;44.0;0.8;9.8;3.1000000000000227;41;21.4;1014.1500000000001;62.5;1;2;0;13.354768454981894;18.589609420024257;8.110413462331843;10.47919595769241
2015-09-01;20150901;28.3;14.6;81;29;1016.9;1012.8;26.0;0.0;13.700000000000001;4.100000000000023;52;21.45;1014.8499999999999;55.0;0.0;0;1;13.355465375819795;18.59038118334729;8.111032407367768;10.479348775979517
2015-09-02;20150902;27.7;17.7;75;31;1014.2;1008.6;27.0;0.0;10.0;5.600000000000023;44;22.7;1011.4000000000001;53.0;0.0;0;2;13.356162296657697;18.59115294667032;8.111651352403694;10.479501594266624
2015-09-03;20150903;25.6;15.1;81;20;1013.2;1009.2;29.0;0.0;10.500000000000002;4.0;61;20.35;1011.2;50.5;0.0;0;3;13.356859217495598;18.591924709993354;8.112270297439618;10.479654412553732
2015-09-04;20150904;24.4;14.4;71;29;1016.6;1011.4;32.0;0.0;9.999999999999998;5.2000000000000455;42;19.4;1014.0;50.0;0.0;0;4;13.357556138333498;18.592696473316387;8.112889242475545;10.479807230840839
2015-09-05;20150905;24.3;10.7;80;30;1020.3;1016.6;23.0;0.0;13.600000000000001;3.699999999999932;50;17.5;1018.45;55.0;0.0;0;5;13.3582530591714;18.593468236639417;8.113508187511469;10.479960049127946
2015-09-06;20150906;24.2;12.1;69;32;1021.0;1018.2;26.0;0.0;12.1;2.7999999999999545;37;18.15;1019.6;50.5;0.0;0;6;13.358949980009301;18.59423999996245;8.114127132547395;10.480112867415052
2015-09-07;20150907;24.8;13.6;65;23;1020.4;1016.6;27.0;0.0;11.200000000000001;3.7999999999999545;42;19.2;1018.5;44.0;0.0;0;7;13.359646900847203;18.595011763285484;8.11474607758332;10.48026568570216
2015-09-08;20150908;25.5;11.1;73;16;1018.4;1014.1;32.0;0.0;14.4;4.2999999999999545;57;18.3;1016.25;44.5;0.0;0;8;13.360343821685104;18.595783526608514;8.115365022619244;10.480418503989267
2015-09-09;20150909;26.1;12.1;52;19;1016.9;1012.8;29.0;0.0;14.000000000000002;4.100000000000023;33;19.1;1014.8499999999999;35.5;0.0;0;9;13.361040742523006;18.596555289931548;8.11598396765517;10.480571322276374
2015-09-10;20150910;25.9;15.9;62;26;1014.2;1010.3;25.0;0.0;9.999999999999998;3.900000000000091;36;20.9;1012.25;44.0;0.0;0;10;13.361737663360906;18.59732705325458;8.116602912691095;10.480724140563481
2015-09-11;20150911;27.5;14.1;49;24;1013.2;1010.2;37.0;0.0;13.4;3.0;25;20.8;1011.7;36.5;0.0;0;11;13.362434584198807;18.59809881657761;8.11722185772702;10.480876958850589
2015-09-12;20150912;25.1;17.6;63;27;1012.1;1009.1;38.0;0.0;7.5;3.0;36;21.35;1010.6;45.0;0.0;0;12;13.363131505036709;18.598870579900645;8.117840802762945;10.481029777137696
2015-09-13;20150913;23.1;15.0;82;26;1011.8;1008.3;40.0;0.0;8.100000000000001;3.5;56;19.05;1010.05;54.0;0.0;0;13;13.36382842587461;18.599642343223678;8.118459747798871;10.481182595424803
2015-09-14;20150914;22.8;12.2;81;32;1014.5;1011.8;35.0;0.0;10.600000000000001;2.7000000000000455;49;17.5;1013.15;56.5;0.0;0;14;13.364525346712512;18.600414106546708;8.119078692834796;10.48133541371191
2015-09-15;20150915;17.2;11.1;86;41;1012.6;1007.7;33.0;0.8;6.1;4.899999999999977;45;14.149999999999999;1010.1500000000001;63.5;1;1;0;13.365222267550413;18.60118586986974;8.119697637870722;10.481488231999018
2015-09-16;20150916;19.9;12.9;97;64;1007.7;1002.1;48.0;3.0;6.999999999999998;5.600000000000023;33;16.4;1004.9000000000001;80.5;1;2;0;13.365919188388313;18.601957633192775;8.120316582906646;10.481641050286125
2015-09-17;20150917;17.7;8.2;95;41;1018.4;1004.9;34.0;0.0;9.5;13.5;54;12.95;1011.65;68.0;0.0;0;1;13.366616109226214;18.602729396515805;8.12093552794257;10.481793868573233
2015-09-18;20150918;22.4;6.8;83;25;1022.3;1018.5;23.0;0.0;15.599999999999998;3.7999999999999545;58;14.6;1020.4;54.0;0.0;0;2;13.367313030064116;18.60350115983884;8.121554472978497;10.481946686860338
2015-09-19;20150919;24.4;9.7;71;28;1024.6;1021.5;27.0;0.0;14.7;3.099999999999909;43;17.049999999999997;1023.05;49.5;0.0;0;3;13.368009950902017;18.604272923161872;8.122173418014421;10.482099505147445
2015-09-20;20150920;27.0;11.3;65;24;1023.2;1018.5;24.0;0.0;15.7;4.7000000000000455;41;19.15;1020.85;44.5;0.0;0;4;13.368706871739919;18.605044686484906;8.122792363050348;10.482252323434553
2015-09-21;20150921;27.7;12.7;52;16;1019.7;1014.0;26.0;0.0;15.0;5.7000000000000455;36;20.2;1016.85;34.0;0.0;0;5;13.36940379257782;18.605816449807936;8.123411308086272;10.48240514172166
